"ciudad","periodo","año","mes","orden","semestre","apertura","rubro","mediana","mediapodada","cantidad_precios","ponderadorImplicito","variacion","incidencia","variacion_anual","incidencia_anual"
"Conurbano","2011-7",2011,7,1,"2011-IIS","CBA","total",369.96,372.54,6640,0.99,,,,
"Conurbano","2011-7",2011,7,100,"2011-IIS","Almacén","Almacén",169.68,167.35,4439,0.45,,,,
"Conurbano","2011-7",2011,7,120,"2011-IIS","Almacén-ConHarina","Almacén",73.19,72.38,815,0.19,,,,
"Conurbano","2011-7",2011,7,130,"2011-IIS","Almacén-SinHarina","Almacén",96.49,94.97,3624,0.25,,,,
"Conurbano","2011-7",2011,7,200,"2011-IIS","Verdulería","Verdulería",51.36,53.16,1381,0.13,,,,
"Conurbano","2011-7",2011,7,300,"2011-IIS","Carnicería","Carnicería",148.91,152.03,820,0.40,,,,
"Conurbano","2011-8",2011,8,1,"2011-IIS","CBA","total",374.65,382.50,6427,0.99,1.26,1.26,,
"Conurbano","2011-8",2011,8,100,"2011-IIS","Almacén","Almacén",167.59,172.50,4225,0.44,-1.22,-0.56,,
"Conurbano","2011-8",2011,8,120,"2011-IIS","Almacén-ConHarina","Almacén",69.75,74.10,791,0.18,-4.69,-0.92,,
"Conurbano","2011-8",2011,8,130,"2011-IIS","Almacén-SinHarina","Almacén",97.84,98.39,3434,0.26,1.40,0.36,,
"Conurbano","2011-8",2011,8,200,"2011-IIS","Verdulería","Verdulería",52.82,55.57,1373,0.14,2.83,0.39,,
"Conurbano","2011-8",2011,8,300,"2011-IIS","Carnicería","Carnicería",154.23,154.43,829,0.41,3.57,1.42,,
"Conurbano","2011-9",2011,9,1,"2011-IIS","CBA","total",396.98,399.86,5421,1.00,5.96,5.93,,
"Conurbano","2011-9",2011,9,100,"2011-IIS","Almacén","Almacén",178.99,180.38,4291,0.45,6.80,3.03,,
"Conurbano","2011-9",2011,9,120,"2011-IIS","Almacén-ConHarina","Almacén",76.46,77.71,795,0.19,9.61,1.78,,
"Conurbano","2011-9",2011,9,130,"2011-IIS","Almacén-SinHarina","Almacén",102.53,102.66,3496,0.25,4.79,1.24,,
"Conurbano","2011-9",2011,9,200,"2011-IIS","Verdulería","Verdulería",61.23,61.82,715,0.15,15.93,2.23,,
"Conurbano","2011-9",2011,9,300,"2011-IIS","Carnicería","Carnicería",156.75,157.65,415,0.39,1.63,0.67,,
"Conurbano","2011-10",2011,10,1,"2011-IIS","CBA","total",396.28,398.08,7511,1.00,-0.17,-0.17,,
"Conurbano","2011-10",2011,10,100,"2011-IIS","Almacén","Almacén",183.09,182.37,4892,0.46,2.28,1.03,,
"Conurbano","2011-10",2011,10,120,"2011-IIS","Almacén-ConHarina","Almacén",76.52,76.74,908,0.19,0.08,0.01,,
"Conurbano","2011-10",2011,10,130,"2011-IIS","Almacén-SinHarina","Almacén",106.56,105.62,3984,0.26,3.92,1.01,,
"Conurbano","2011-10",2011,10,200,"2011-IIS","Verdulería","Verdulería",59.26,60.03,1561,0.14,-3.22,-0.49,,
"Conurbano","2011-10",2011,10,300,"2011-IIS","Carnicería","Carnicería",153.92,155.67,1058,0.38,-1.80,-0.71,,
"Conurbano","2011-11",2011,11,1,"2011-IIS","CBA","total",403.20,406.25,5476,1.00,1.74,1.74,,
"Conurbano","2011-11",2011,11,1,"2014-IS","CBA","total",403.20,406.25,5476,1.00,1.74,1.74,,
"Conurbano","2011-11",2011,11,100,"2014-IS","Almacén","Almacén",177.14,179.27,3353,0.43,-3.24,-1.50,,
"Conurbano","2011-11",2011,11,100,"2011-IIS","Almacén","Almacén",177.14,179.27,3353,0.43,-3.24,-1.50,,
"Conurbano","2011-11",2011,11,120,"2014-IS","Almacén-ConHarina","Almacén",70.73,73.33,572,0.17,-7.57,-1.46,,
"Conurbano","2011-11",2011,11,120,"2011-IIS","Almacén-ConHarina","Almacén",70.73,73.33,572,0.17,-7.57,-1.46,,
"Conurbano","2011-11",2011,11,130,"2014-IS","Almacén-SinHarina","Almacén",106.41,105.94,2781,0.26,-0.13,-0.03,,
"Conurbano","2011-11",2011,11,130,"2011-IIS","Almacén-SinHarina","Almacén",106.41,105.94,2781,0.26,-0.13,-0.03,,
"Conurbano","2011-11",2011,11,200,"2011-IIS","Verdulería","Verdulería",64.60,64.48,1246,0.16,9.01,1.34,,
"Conurbano","2011-11",2011,11,200,"2014-IS","Verdulería","Verdulería",64.60,64.48,1246,0.16,9.01,1.34,,
